,book_id,author_id
6363,31538647,1077326
6368,304027,20248
6379,128453,72605
6380,9809,155517
6381,618164,7531
6390,604117,51724
6408,467164,7906
6413,5287473,2261547
6417,22992,44150
6418,112136,64845
6420,11573,3389
6434,815234,3368
6438,71642,23988
6441,92364,3447
6448,150236,86808
6460,310259,6039100
6463,13495219,5757476
6479,18243700,3433047
6487,111879,64716
6499,10346185,38531
6503,868211,195780
6531,782580,13453
6534,420278,41588
6539,12578077,4476934
6540,293918,1438
6541,402093,6417
6563,367802,57189
6568,75504,42920
6573,10194157,4575289
6574,17675462,1330292
6583,304079,875661
6590,28187,15872
6616,2734278,15952
6618,269322,4624490
6621,9256414,4336590
6622,42038,947
6623,7864437,348878
6632,15749186,151371
6637,13624584,4499623
6641,18079542,4721275
6644,2248164,1015012
6646,16102879,5014564
6651,8109130,3508354
6652,22918050,2987125
6661,99561,1406384
6667,6070950,625
6669,6658568,53970
6671,5554803,16202
6673,3050104,27847
6676,94062,53974
6677,7497552,1415543
6678,11859244,79589
6681,17899392,3780
6682,6340471,269069
6688,1194366,11137
6689,3250465,1379078
6695,15812814,1304470
6703,522471,190441
6707,626186,67810
6709,3564825,1508588
6714,51428,2526
6722,229490,126447
6727,12125,7540
6728,1158967,566874
6729,20980373,6518370
6730,41581171,5752457
6732,7903851,4125517
6749,16070521,6550037
6754,4333469,1818261
6762,17831616,6556689
6774,11699055,2889003
6785,5454,3681
6788,9462775,10317
6803,17983690,6476625
6809,29075421,7233168
6815,17200687,6875794
6823,40508188,26897
6831,22838220,7012378
6840,20657437,3251728
6842,23198876,7795802
6845,22836575,6921953
6849,17901125,5830526
6858,26125352,6879912
6866,15992880,6521036
6868,34484,1654
6869,724994,29542
6871,15734418,6434818
6877,2884065,317354
6883,584486,59445
6886,903288,402788
6887,12902757,499602
6890,1022411,29792
6894,1316382,5656153
6901,248483,49177
6904,25294122,6448939
6906,600567,326338
6913,17029526,4872191
6916,23016364,6422281
6923,11978910,63898
6931,2771105,92650
6932,411701,16961
6935,7114761,13370
6937,648194,21387
6940,30821598,6160
6949,7107515,127875
6956,15729261,2965489
6959,280499,163176
6961,9864,3299
6967,7070067,28569
6969,478246,137130
6976,129613,9885
6978,40948565,4343092
6982,146746,3119
6983,196743,1305302
6990,5161,3504
6993,41684,6989
6995,1523438,365388
6999,14758,9212
7002,10088219,4534486
7024,11851522,9494
7027,302998,13081
7028,11331421,786925
7031,33507,696805
7041,164814,95806
7043,105576,61124
7044,17262100,3670
7045,22365433,7513718
7050,236557,12425
7053,18461055,6200344
7058,2135550,1036736
7061,199687,79922
7062,65066,36718
7064,29011,11646
7065,403129,99642
7066,440777,16902
7070,29579,16667
7076,160848,12736
7081,105920,12424
7088,15197,5117
7089,103111,15091
7095,52367,15085
7097,102459,10182
7100,33906,19093
7104,6621143,410418
7127,84151,4430
7134,24812,13778
7145,31979,18015
7158,107770,6251
7159,18171324,2131916
7187,9517,6238
7197,6582637,71688
7202,17352909,218105
7209,91253,403
7223,36047860,396165
7227,366427,13078
7231,96337,55397
7232,256279,1417512
7234,89208,51209
7236,20893314,56064
7237,239592,3101
7238,8664368,171414
7241,130028,9738
7243,151926,4000
7245,316496,22595
7246,30512,10108
7249,3656,91
7250,139087,15543
7253,6862,2408
7257,4965,211268
7258,13830,8596
7269,2485785,93345
7270,23398961,160033
7271,13330603,3509
7273,22609358,4512899
7282,18505784,7273667
7287,18114142,60390
7288,22501028,457
7311,18047049,4563849
7325,17221425,2980235
7340,3598195,172490
7354,2281814,35022
7364,377889,2012967
7371,5931169,9237
7373,17213054,5073330
7374,35921,10517
7383,1146093,22414
7386,17258293,5771850
7389,68496,33918
7390,9415946,2884780
7395,11013,5144
7397,13986,8685
7398,38262,2007
7400,16159276,1122775
7401,84076,19954
7403,13409405,24009
7405,8675320,18874
7406,7114825,8660
7407,11026,239579
7414,18884,8732
7417,373755,3535
7420,248584,4099
7421,81069,25
7427,455764,216539
7436,7234801,3020684
7438,61900,16094
7440,80890,19405
7444,9533378,4414255
7447,33553,8726
7448,8835897,3408349
7450,7735325,58846
7453,267972,10006
7454,8350864,119755
7455,7159016,1290625
7456,17876,3137322
7457,1325218,13728
7459,30597,13661
7463,45685,3565
